ID,Congressional District,Call Date,Disposition,Q1
94384,11,9/30/2020,Left Message,
23410,1,10/01/2020,Wrong Number,
95912,11,9/30/2020,Left Message,
111264,15,9/30/2020,C,1
125856,2,10/1/2020,Left Message,
69783,11,9/29/2020,Left Message,
89769,9,9/30/2020,Left Message,
132437,10,10/1/2020,Left Message,
111611,15,9/30/2020,Left Message,
51550,13,9/28/2020,C,4
85010,15,9/29/2020,Left Message,
112863,1,10/1/2020,C,4 - Refused
83729,15,9/29/2020,Left Message,
119234,2,10/1/2020,Left Message,
136081,12,10/1/2020,D,
88471,9,9/30/2020,C,4
92582,11,9/30/2020,Left Message,
75728,12,9/29/2020,Left Message,
47946,12,9/28/2020,D,
16593,1,9/30/2020,Wrong Number,
5499,1,9/28/2020,Left Message Recording,
86998,8,9/30/2020,C,4
98152,12,9/30/2020,Left Message,
46085,12,9/28/2020,Left Message,
12336,1,9/29/2020,Wrong Number,
16371,1,9/30/2020,Wrong Number,
74017,12,9/29/2020,C,4 - Refused
140997,2,10/2/2020,C,1
140275,15,10/1/2020,C,1
62842,9,9/29/2020,Left Message,
20511,1,9/30/2020,Wrong Number,
53760,14,9/28/2020,C,4 - Refused
101932,12,9/30/2020,C,1 - Yes
162348,7,10/2/2020,Left Message,
143866,3,10/2/2020,Left Message,
103080,13,9/30/2020,Left Message,
28842,8,9/28/2020,Left Message,
116040,2,10/1/2020,Left Message,
51769,13,9/28/2020,D,
12256,1,9/29/2020,Wrong Number,
64036,9,9/29/2020,Left Message,
134469,11,10/1/2020,Left Message,
33430,9,9/28/2020,Left Message,
153418,6,10/2/2020,Left Message,
8075,1,9/28/2020,Left Message Recording,
39867,11,9/28/2020,Left Message,
102063,12,9/30/2020,Left Message,
51087,13,9/28/2020,C,2 - No
151670,6,10/2/2020,Left Message,
69084,11,9/29/2020,Left Message,
4625,1,9/28/2020,Wrong Number,
88943,9,9/30/2020,Left Message,
35532,10,9/28/2020,Left Message,
10668,1,9/29/2020,Wrong Number,
161732,7,10/2/2020,Left Message,
27053,1,10/2/2020,Wrong Number,
82002,14,9/29/2020,Left Message,
3051,1,9/28/2020,Left Message Recording,
140504,2,10/2/2020,Left Message,
103359,13,9/30/2020,D,
131431,9,10/1/2020,D,
157314,7,10/2/2020,Left Message,
16774,1,9/30/2020,Wrong Number,
108301,14,9/30/2020,Left Message,
14175,1,9/29/2020,Left Message Recording,
55529,15,9/28/2020,D,
144195,3,10/2/2020,D,
19594,1,9/30/2020,Left Message Recording,
116554,2,10/1/2020,Left Message,
127706,2,10/1/2020,Left Message,
162548,7,10/2/2020,Left Message,
146430,3,10/2/2020,D,
32186,9,9/28/2020,C,Refused
131759,10,10/1/2020,D,
16246,1,9/30/2020,Wrong Number,
163289,8,10/2/2020,Left Message,
12418,1,9/29/2020,Wrong Number,
33556,9,9/28/2020,C,1 - Yes
104227,13,9/30/2020,D,
68541,10,9/29/2020,D,
57431,15,9/28/2020,Left Message,
43529,12,9/28/2020,Left Message,
39821,11,9/28/2020,Left Message,
61197,8,9/29/2020,Left Message,
107260,14,9/30/2020,D,
156581,6,10/2/2020,Left Message,
