,ID,Congressional District,Call Date,Disposition,Q1
509,138640,14,10/01/2020,Bad Number,None
510,64559,9,09/29/2020,Bad Number,None
511,45510,12,09/28/2020,Left Message,None
512,46850,12,09/28/2020,Left Message,None
513,121706,2,10/01/2020,Left Message,None
514,141988,2,10/02/2020,Left Message,None
515,128714,8,10/01/2020,Left Message,None
516,125756,2,10/01/2020,Left Message,None
517,51168,13,09/28/2020,Answered,Yes
518,16373,1,09/30/2020,Wrong Number,None
519,25448,1,10/01/2020,Left Message,None
520,99533,12,09/30/2020,Bad Number,None
521,96094,11,09/30/2020,Left Message,None
522,31722,8,09/28/2020,Answered,Yes
523,157559,7,10/02/2020,Left Message,None
524,88885,9,09/30/2020,Answered,Refused
525,91422,10,09/30/2020,Answered,Refused
526,58106,8,09/29/2020,Bad Number,None
527,62653,9,09/29/2020,Bad Number,None
528,137143,12,10/01/2020,Bad Number,None
529,40626,11,09/28/2020,Left Message,None
530,134691,11,10/01/2020,Bad Number,None
531,150251,6,10/02/2020,Left Message,None
532,3531,1,09/28/2020,Wrong Number,None
533,131920,10,10/01/2020,Left Message,None
534,12507,1,09/29/2020,Wrong Number,None
535,61709,8,09/29/2020,Left Message,None
536,7385,1,09/28/2020,Left Message,None
537,51721,13,09/28/2020,Bad Number,None
538,42125,11,09/28/2020,Bad Number,None
539,35728,10,09/28/2020,Left Message,None
540,136953,12,10/01/2020,Left Message,None
541,102610,13,09/30/2020,Bad Number,None
542,21904,1,10/01/2020,Wrong Number,None
543,90539,10,09/30/2020,Answered,No
544,47632,12,09/28/2020,Left Message,None
545,44515,12,09/28/2020,Answered,Undecided
546,64150,9,09/29/2020,Left Message,None
547,19334,1,09/30/2020,Left Message,None
548,65604,9,09/29/2020,Bad Number,None
549,85432,8,09/30/2020,Answered,Refused
550,64033,9,09/29/2020,Left Message,None
551,4421,1,09/28/2020,Left Message,None
552,21636,1,10/01/2020,Wrong Number,None
553,124628,2,10/01/2020,Left Message,None
554,160382,7,10/02/2020,Answered,Yes
555,94377,11,09/30/2020,Left Message,None
556,66251,10,09/29/2020,Bad Number,None
557,148270,5,10/02/2020,Left Message,None
558,150360,6,10/02/2020,Answered,Undecided
559,10839,1,09/29/2020,Wrong Number,None
560,56781,15,09/28/2020,Left Message,None
561,74159,12,09/29/2020,Left Message,None
562,128132,2,10/01/2020,Left Message,None
563,61668,8,09/29/2020,Left Message,None
564,41365,11,09/28/2020,Bad Number,None
565,38123,11,09/28/2020,Answered,Refused
566,76157,12,09/29/2020,Answered,Refused
567,148449,5,10/02/2020,Answered,Refused
568,13920,1,09/29/2020,Answered,Yes
569,118855,2,10/01/2020,Left Message,None
570,3943,1,09/28/2020,Wrong Number,None
571,70115,11,09/29/2020,Left Message,None
572,22097,1,10/01/2020,Wrong Number,None
573,71251,11,09/29/2020,Bad Number,None
574,35680,10,09/28/2020,Answered,Yes
575,118590,2,10/01/2020,Left Message,None
576,75171,12,09/29/2020,Bad Number,None
577,162190,7,10/02/2020,Answered,Yes
578,158288,7,10/02/2020,Answered,Yes
579,87242,8,09/30/2020,Bad Number,None
580,30624,8,09/28/2020,Bad Number,None
581,102082,12,09/30/2020,Left Message,None
582,163414,8,10/02/2020,Left Message,None
583,1371,1,09/28/2020,Left Message,None
584,858,1,09/28/2020,Left Message,None
585,45120,12,09/28/2020,Bad Number,None
586,159309,7,10/02/2020,Left Message,None
587,38471,11,09/28/2020,Left Message,None
588,164887,8,10/02/2020,Left Message,None
589,135586,11,10/01/2020,Bad Number,None
590,126747,2,10/01/2020,Left Message,None
591,3774,1,09/28/2020,Left Message,None
592,97413,12,09/30/2020,Answered,Yes
593,18538,1,09/30/2020,Wrong Number,None
594,94384,11,09/30/2020,Left Message,None
595,23410,1,10/01/2020,Wrong Number,None
596,95912,11,09/30/2020,Left Message,None
597,111264,15,09/30/2020,Answered,Yes
598,125856,2,10/01/2020,Left Message,None
599,69783,11,09/29/2020,Left Message,None
600,89769,9,09/30/2020,Left Message,None
601,132437,10,10/01/2020,Left Message,None
602,111611,15,09/30/2020,Left Message,None
603,51550,13,09/28/2020,Answered,Refused
604,85010,15,09/29/2020,Left Message,None
605,112863,1,10/01/2020,Answered,Refused
606,83729,15,09/29/2020,Left Message,None
607,119234,2,10/01/2020,Left Message,None
608,136081,12,10/01/2020,Bad Number,None
609,88471,9,09/30/2020,Answered,Refused
610,92582,11,09/30/2020,Left Message,None
611,75728,12,09/29/2020,Left Message,None
612,47946,12,09/28/2020,Bad Number,None
613,16593,1,09/30/2020,Wrong Number,None
614,5499,1,09/28/2020,Left Message,None
615,86998,8,09/30/2020,Answered,Refused
616,98152,12,09/30/2020,Left Message,None
617,46085,12,09/28/2020,Left Message,None
618,12336,1,09/29/2020,Wrong Number,None
619,16371,1,09/30/2020,Wrong Number,None
620,74017,12,09/29/2020,Answered,Refused
621,140997,2,10/02/2020,Answered,Yes
622,140275,15,10/01/2020,Answered,Yes
623,62842,9,09/29/2020,Left Message,None
624,20511,1,09/30/2020,Wrong Number,None
625,53760,14,09/28/2020,Answered,Refused
626,101932,12,09/30/2020,Answered,Yes
627,162348,7,10/02/2020,Left Message,None
628,143866,3,10/02/2020,Left Message,None
629,103080,13,09/30/2020,Left Message,None
630,28842,8,09/28/2020,Left Message,None
631,116040,2,10/01/2020,Left Message,None
632,51769,13,09/28/2020,Bad Number,None
633,12256,1,09/29/2020,Wrong Number,None
634,64036,9,09/29/2020,Left Message,None
635,134469,11,10/01/2020,Left Message,None
636,33430,9,09/28/2020,Left Message,None
637,153418,6,10/02/2020,Left Message,None
638,8075,1,09/28/2020,Left Message,None
639,39867,11,09/28/2020,Left Message,None
640,102063,12,09/30/2020,Left Message,None
641,51087,13,09/28/2020,Answered,No
642,151670,6,10/02/2020,Left Message,None
643,69084,11,09/29/2020,Left Message,None
