,ID,Congressional District,Call Date,Disposition,Q1
358,31475,8,09/28/2020,Left Message,Undecided
359,103368,13,09/30/2020,Left Message,Undecided
360,17668,1,09/30/2020,Wrong Number,Undecided
361,93476,11,09/30/2020,Left Message,Undecided
362,107717,14,09/30/2020,Left Message,Undecided
363,79179,13,09/29/2020,Left Message,Undecided
364,130808,9,10/01/2020,Bad Number,Undecided
365,33132,9,09/28/2020,Answered,Yes
366,12422,1,09/29/2020,Wrong Number,Undecided
367,141348,2,10/02/2020,Answered,Undecided
368,5656,1,09/28/2020,Left Message,Undecided
369,107386,14,09/30/2020,Left Message,Undecided
370,22623,1,10/01/2020,Wrong Number,Undecided
371,19030,1,09/30/2020,Wrong Number,Undecided
372,113172,1,10/01/2020,Answered,Yes
373,63628,9,09/29/2020,Left Message,Undecided
374,66810,10,09/29/2020,Left Message,Undecided
375,33183,9,09/28/2020,Left Message,Undecided
376,148,1,09/28/2020,Left Message,Undecided
377,18555,1,09/30/2020,Wrong Number,Undecided
378,69716,11,09/29/2020,Left Message,Undecided
379,139794,15,10/01/2020,Left Message,Undecided
380,118598,2,10/01/2020,Left Message,Undecided
381,139212,15,10/01/2020,Bad Number,Undecided
382,66263,10,09/29/2020,Left Message,Undecided
383,164617,8,10/02/2020,Bad Number,Undecided
384,161914,7,10/02/2020,Left Message,Undecided
385,47144,12,09/28/2020,Left Message,Undecided
386,93119,11,09/30/2020,Left Message,Undecided
387,128357,2,10/01/2020,Left Message,Undecided
388,47677,12,09/28/2020,Left Message,Undecided
389,96006,11,09/30/2020,Left Message,Undecided
390,160574,7,10/02/2020,Left Message,Undecided
391,129815,8,10/01/2020,Left Message,Undecided
392,62979,9,09/29/2020,Bad Number,Undecided
393,99256,12,09/30/2020,Left Message,Undecided
394,47748,12,09/28/2020,Left Message,Undecided
395,85519,8,09/30/2020,Answered,Refused
396,118437,2,10/01/2020,Left Message,Undecided
397,131451,9,10/01/2020,Left Message,Undecided
398,151216,6,10/02/2020,Bad Number,Undecided
399,65916,9,09/29/2020,Left Message,Undecided
400,3779,1,09/28/2020,Left Message,Undecided
401,130911,9,10/01/2020,Bad Number,Undecided
402,135237,11,10/01/2020,Left Message,Undecided
403,153696,6,10/02/2020,Left Message,Undecided
404,70200,11,09/29/2020,Left Message,Undecided
405,106753,14,09/30/2020,Answered,Refused
406,148009,5,10/02/2020,Left Message,Undecided
407,85974,8,09/30/2020,Left Message,Undecided
408,66639,10,09/29/2020,Left Message,Undecided
409,150028,6,10/02/2020,Left Message,Undecided
410,9997,1,09/28/2020,Left Message,Undecided
411,69116,11,09/29/2020,Answered,Refused
412,2010,1,09/28/2020,Left Message,Undecided
413,234,1,09/28/2020,Left Message,Undecided
414,65425,9,09/29/2020,Left Message,Undecided
415,130026,8,10/01/2020,Bad Number,Undecided
416,70961,11,09/29/2020,Left Message,Undecided
417,47876,12,09/28/2020,Bad Number,Undecided
418,35465,10,09/28/2020,Left Message,Undecided
419,66240,10,09/29/2020,Left Message,Undecided
420,100972,12,09/30/2020,Bad Number,Undecided
421,149119,6,10/02/2020,Bad Number,Undecided
422,141939,2,10/02/2020,Left Message,Undecided
423,118366,2,10/01/2020,Left Message,Undecided
424,65966,10,09/29/2020,Left Message,Undecided
